concept_id	standard_concept	codeset	codes
N_c516	X-ray Study	SNOMED-CT	 426296008, 426945003, 427961005, 428603007, 428665002, 429148001, 429646003, 431251007, 431557005, 431677006, 431871005, 431892005, 432078003, 432769002, 432770001, 432778008, 432848006, 432906003, 433155002, 439100007, 440607000, 440695003,399208008,420233006
N_c18	colonoscopy	CPT	 44390, 44391, 44392, 44393, 44394, 44397, 45355, 45378, 45379, 45380, 45381, 45382, 45383, 45384, 45385, 45386, 45387, 45391, 45392,44388,44389
N_c32	colonoscopy	HCPCS	G0105,G0121
N_c44	colonoscopy	ICD-10-CM	Z12.11
N_c33	colonoscopy	ICD-9-CM	 45.25, 45.42, 45.43,45.22,45.23
N_c39	colonoscopy	SNOMED-CT	174067002,456004
N_c34	colorectal cancer	HCPCS	 G0215, G0231,G0213,G0214
N_c43	colorectal cancer	ICD-10-CM	 C18.1, C18.2, C18.3, C18.4, C18.5, C18.6, C18.7, C18.8, C18.9, C19, C20, C21, C21.0, C21.1, C21.2, C21.8, D12, D12.0, D12.1, D12.2, D12.3, D12.4, D12.5, D12.6, D12.7, D12.8, D12.9, D50, D50.0, K50.1, K50.111, K50.112, K50.8, K50.80, K50.81, K50.811, K50.812, K50.813, K50.814, K50.818, K50.819, K51, K51.5, K51.8, K51.9, K52, K52.1, K52.2, K52.8, K55, K55.0, K55.1, K55.8, K57.30, K57.33, K59, K59.01, K59.02, K59.09, K62.0, K62.1, K62.5, R19.5, Z12.11, Z12.12, Z12.13, Z15, Z83.71, Z85.03, Z85.04, Z86.010,C18,C18.0
N_c520	colorectal cancer	ICD-9-CM	 153.1, 153.2, 153.3, 153.4, 153.5, 153.6, 153.7, 153.8, 153.9, 154.0, 154.1, 197.5, V10.05,153,153.0
N_c20	colorectal cancer	SNOMED-CT	 187757001, 187758006, 269533000, 269544008, 285312008, 285611007, 301756000, 312111009, 312112002, 312114001, 312115000, 314965007, 315058005, 363406005, 363407001, 363408006, 363409003, 363410008, 363412000, 363413005, 363414004, 363510005, 425178004, 428283002, 429047008, 429699009, 93683002, 93761005, 93771007, 93826009, 94006002, 94072004, 94105000, 94179005, 94260004, 94271003, 94328005, 94509004, 94538001, 94604000, 94643001,109838007,126838000
N_c29	flexible sigmoidoscopy	CPT	 45332, 45333, 45334, 45335, 45337, 45338, 45339, 45340, 45341, 45342, 45345,45330,45331
N_c30	flexible sigmoidoscopy	HCPCS	G0104
N_c31	flexible sigmoidoscopy	ICD-9-CM	45.24
N_c38	flexible sigmoidoscopy	SNOMED-CT	 21423008, 235153008, 265409002, 32414000, 396225009, 396226005, 425634007, 44441009,112870002,174222002
N_c13	FOBT	CPT	82270,82274
N_c17	FOBT	HCPCS	G0328,G0394
N_c15	FOBT	ICD-9-CM	V76.51
N_c16	FOBT	LOINC	 14563-1, 14564-9, 14565-6, 2335-8, 27396-1, 27401-9, 27925-7, 27926-5, 29771-3,12503-9,12504-7
N_c14	FOBT	SNOMED-CT	 441626002, 442067009, 442516004, 442554004, 442563002, 442722005, 61788003,252156002,441579003
N_c36	total colectomy	CPT	 44152, 44153, 44155, 44156, 44157, 44158, 44210, 44211, 44212,44150,44151
N_c37	total colectomy	ICD-9-CM	 45.82, 45.83,45.8,45.81
N_c21	total colectomy	SNOMED-CT	 26390003, 265393006, 307666008, 307667004, 307669001, 427816007, 80294005,235331003,23968004
N_c553	acute respiratory failure	SNOMED-CT	 67905004,397767007,65710008
N_c232	acute respiratory failure	ICD-10-CM	J96.0
N_c231	acute respiratory failure	ICD-9-CM	518.81
N_c296	Antiasthmatic combinations	RxNorm	 198266 , 198267 , 243324 , 243325 , 243327 , 246453 , 251963 , 260063 , 283239 , 310043 , 310045 , 310096 , 310097 , 310616 , 310617 , 310658 , 314004 , 315111 , 346733 , 349386 , 349629 , 359468 , 388681 , 428925 , 56229, 756306 , 756311,197639
N_c297	Antibody inhibitor	RxNorm	403866
N_c176	asthma	ICD-10-CM	J45
N_c221	asthma	ICD-9-CM	 493.00, 493.01, 493.02, 493.1, 493.10, 493.11, 493.12, 493.2, 493.20, 493.21, 493.22, 493.8, 493.81, 493.82, 493.9, 493.90, 493.91, 493.92,493,493.0
N_c223	asthma	SNOMED-CT	 13151001, 195949008, 195967001, 195977004, 195979001, 196013003, 225057002, 233672007, 233678006, 233679003, 233681001, 233683003, 233685005, 233688007, 266361008, 266364000, 281239006, 30352005, 304527002, 31387002, 370218001, 370219009, 370220003, 370221004, 389145006, 405944004, 407674008, 409663006, 423889005, 424199006, 424643009, 425969006, 426656000, 426979002, 427295004, 427354000, 427603009, 427679007, 442025000, 55570000, 56968009, 57546000, 59327009, 59786004, 63088003, 67415000, 85761009, 91340006, 92807009, 93432008,11641008,12428000
N_c556	COPD	SNOMED-CT	 13645005, 16846004, 195951007, 195957006, 195959009, 195963002, 196001008, 196026004, 196027008, 20606002, 21072009, 22482002, 233673002, 233674008, 233675009, 233677001, 233713004, 233723008, 23958009, 266356006, 285381006, 2912004, 313296004, 313297008, 313299006, 31886003, 31898008, 32544004, 33325001, 34371004, 40100001, 47895001, 47938003, 4981000, 57686001, 60805002, 66110007, 66987001, 68328006, 70756004, 77690003, 86680006, 87433001,129458007,135836000
N_c226	COPD	ICD-10-CM	J44,J98.3
N_c225	COPD	ICD-9-CM	 491.21, 491.22, 492.0, 493.2, 493.20, 493.21, 493.22, 496, 506.4,491.2,491.20
N_c559	cystic fibrosis	SNOMED-CT	 235978006, 81423003, 86092005, 86555001,190905008,190909002
N_c230	cystic fibrosis	ICD-10-CM	E88
N_c229	cystic fibrosis	ICD-9-CM	 277.01, 277.02, 277.03, 277.09,277.0,277.00
N_c560	emphysema	SNOMED-CT	 195957006, 195958001, 195959009, 195963002, 196026004, 20606002, 21072009, 233674008, 233675009, 233677001, 23958009, 266355005, 266356006, 2912004, 31898008, 33325001, 47895001, 4981000, 57686001, 60805002, 66110007, 66987001, 68328006, 70756004, 77690003, 86680006, 87433001,16003001,16846004
N_c228	emphysema	ICD-10-CM	 J98.2,J44,J68
N_c227	emphysema	ICD-9-CM	 492.8, 518.1, 518.2,492,492.0
N_c299	Inhaled corticosteroids	RxNorm	 141917 , 150807 , 150810 , 152594 , 152680 , 197704 , 199532 , 226937 , 226938 , 241063 , 245785 , 247042 , 247047 , 247048 , 247551 , 247691 , 249853 , 250648 , 252559 , 252972 , 308580 , 308581 , 308582 , 308583 , 308817 , 311754 , 313458 , 313461 , 313882 , 349094 , 350713 , 351109 , 387015 , 389134 , 401958 , 409732 , 582486 , 597829 , 603778 , 617268 , 617270 , 644548 , 692475 , 692477 , 707365 , 745798 , 745803 , 745807 , 745812 , 746191 , 746199 , 746218 , 746451 , 746452 , 746455 , 746460 , 746803 , 746810 , 746812 , 746814 , 746821 , 746825 , 746828 , 746830 , 746832 , 748625 , 752369 , 752372 , 752376 , 790278 , 790283 , 792945 , 828927 , 828930 , 833245 , 844426 , 895968 , 895994 , 895999 , 896004 , 896008 , 896010 , 896012 , 896018 , 896021 , 896025 , 896028 , 896030 , 896161 , 896174 , 896184 , 896186 , 896192 , 896209 , 896218 , 896225 , 896228 , 896231 , 896236 , 896239 , 896244 , 896267, 896272 , 896294 , 896300 , 896321 , 896324,104568
N_c298	Inhaled steroid combinations	RxNorm	 401958 , 409732 , 597829 , 707365 , 745798 , 745803 , 745807 , 745812 , 896161 , 896174 , 896184 , 896186 , 896192 , 896218 , 896225 , 896228 , 896231 , 896239 , 896244 , 896267, 896272,389134
N_c300	Leukotriene inhibitors	RxNorm	 199904 , 200224 , 242438 , 311759 , 313758 , 351246 , 391880 , 392072 , 723848 , 730834,199655
N_c301	Long acting inhaled beta 2 agonist	RxNorm	 312897 , 318142 , 349154 , 389134 , 401958 , 409732 , 597829 , 707365 , 728211 , 745798 , 745803 , 745807 , 745812 , 866044 , 866048 , 896161 , 896174 , 896184 , 896186 , 896192 , 896209 , 896218 , 896225 , 896228 , 896231 , 896236 , 896239 , 896244 , 896267, 896272,251366
N_c302	Mast Cell stabilizer	RxNorm	 247361 , 247481 , 309548 , 562108 , 746336 , 746340 , 746341 , 746342 , 748785 , 830585 , 831109 , 831246 , 831257 , 831261 , 831263 , 831303 , 831487 , 849548 , 885241,104582
N_c303	Methylxanthines	RxNorm	 108870 , 197354 , 197637 , 197638 , 197639 , 198255 , 198256 , 198257 , 198258 , 198259 , 198260 , 198261 , 198262 , 198263 , 198264 , 198266 , 198267 , 199809 , 204403 , 204683 , 237178 , 241063 , 242959 , 243324 , 243325 , 243327 , 243329 , 245318 , 246453 , 248333 , 249984 , 250604 , 250799 , 251963 , 259060 , 259061 , 259062 , 259063 , 259064 , 259065 , 259066 , 259067 , 259068 , 259069 , 259070 , 259071 , 259072 , 259073 , 259074 , 259075 , 259076 , 259077 , 259078 , 259079 , 259259 , 259292 , 259325 , 260063 , 283239 , 308103 , 308105 , 308106 , 308107 , 308108 , 308110 , 308112 , 308113 , 308114 , 308117 , 308118 , 308119 , 308120 , 308121 , 310039 , 310041 , 310043 , 310045 , 310096 , 310097 , 310099 , 310100 , 310616 , 310658 , 313262 , 313263 , 313264 , 313271 , 313272 , 313278 , 313280 , 313284 , 313285 , 313291 , 313297 , 313298 , 313302 , 313304 , 313306 , 313309 , 313310 , 313312 , 313794 , 313835 , 313836 , 313966 , 314004 , 314240 , 314241 , 315111 , 317769 , 317831 , 317869 , 346574 , 346733 , 348472 , 349386 , 349629 , 358343 , 359468 , 388681 , 411090 , 421824 , 422737 , 425539 , 428923 , 428925 , 428980 , 431807 , 433559 , 434109 , 434226 , 484500 , 484668 , 562298 , 562480 , 562482 , 562484 , 686919 , 701712 , 706550 , 727377 , 755737 , 755738 , 755739 , 755744 , 756090 , 756248 , 756291 , 756292 , 756294 , 756306 , 756311 , 756346 , 756347 , 833038,104553
N_c304	Short acting beta 2 agonist	RxNorm	 104514 , 104582 , 108889 , 153741 , 153742 , 197316 , 197318 , 197933 , 197934 , 198106 , 199924 , 204438 , 226577 , 242754 , 243314 , 245314 , 246683 , 247044 , 247840 , 248066 , 248781 , 249777 , 250683 , 250684 , 307779 , 307781 , 307782 , 311286 , 311562 , 311563 , 311564 , 311566 , 311567 , 312458 , 313813 , 349590 , 351136 , 351137 , 358992 , 359144 , 359145 , 386998 , 392321 , 582498 , 597908 , 630208 , 702262 , 745679 , 745682 , 745791 , 755497 , 801092 , 801917 , 801920 , 801934 , 833187 , 835903 , 836286,103987
N_c505	Baker's Yeast	RxNorm	892677,967985
N_c1086	Baker's Yeast Substance	SNOMED-CT	2101000
N_c596	cancer of lymphoreticular or histiocytic tissue	ICD-10-CM	 C96.3, C96.7,C96,C96.1
N_c252	cancer of lymphoreticular or histiocytic tissue	ICD-9-CM	 203,201,202
N_c340	cancer of lymphoreticular or histiocytic tissue	SNOMED-CT	 109965004, 109966003, 109967007, 109968002, 109969005, 109970006, 109971005, 109972003, 109975001, 109976000, 109977009, 109978004, 109979007, 109982002, 109984001, 109989006, 110006004, 110007008, 118599009, 118600007, 118601006, 118602004, 118605002, 118606001, 118607005, 118608000, 118609008, 118610003, 118611004, 118617000, 118618005, 123313007, 127220001, 128874001, 128875000, 13048006, 15861008, 186723002, 188487008, 188488003, 188489006, 188492005, 188493000, 188498009, 188499001, 188500005, 188501009, 188502002, 188503007, 188504001, 188505000, 188506004, 188507008, 188509006, 188510001, 188511002, 188512009, 188513004, 188514005, 188515006, 188516007, 188517003, 188524002, 188526000, 188529007, 188531003, 188533000, 188534006, 188536008, 188537004, 188538009, 188541000, 188543002, 188547001, 188548006, 188551004, 188554007, 188558005, 188559002, 188561006, 188562004, 188565002, 188566001, 188567005, 188568000, 188569008, 188570009, 188572001, 188575004, 188576003, 188577007, 188578002, 188579005, 188580008, 188582000, 188585003, 188586002, 188587006, 188589009, 188590000, 188591001, 188592008, 188593003, 188606007, 188608008, 188609000, 188612002, 188613007, 188627002, 188630009, 188631008, 188632001, 188633006, 188634000, 188635004, 188637007, 188672005, 188674006, 188675007, 188676008, 188679001, 188680003, 188685008, 188718006, 188727007, 20224008, 20447006, 232075002, 236513009, 237865009, 240531002, 25050002, 254792006, 255101006, 255102004, 269476000, 274905008, 276811008, 276815004, 276836002, 277577000, 277579002, 277580004, 277606000, 277608004, 277609007, 277610002, 277611003, 277612005, 277613000, 277614006, 277615007, 277616008, 277617004, 277618009, 277622004, 277623009, 277624003, 277625002, 277626001, 277627005, 277628000, 277629008, 277632006, 277637000, 277641001, 277642008, 277643003, 277651000, 277653002, 277654008, 277664004, 278051002, 278052009, 285420006, 285421005, 285422003, 285423008, 285424002, 285426000, 285428004, 285430002, 285776004, 302841002, 302842009, 302845006, 302848008, 303017006, 303055001, 303056000, 303057009, 307622006, 307623001, 307624007, 307625008, 307633009, 307634003, 307635002, 307636001, 307637005, 307646004, 307647008, 307649006, 308121000, 31047003, 313427003, 371134001, 373168002, 400001003, 400122007, 402881008, 402882001, 404103007, 404104001, 404105000, 404106004, 404107008, 404108003, 404109006, 404111002, 404112009, 404113004, 404114005, 404115006, 404116007, 404117003, 404119000, 404120006, 404125001, 404126000, 404128004, 404130002, 404131003, 404132005, 404133000, 404134006, 404135007, 404136008, 404137004, 404138009, 404140004, 404141000, 404142007, 404143002, 404144008, 404145009, 404146005, 404147001, 404148006, 404150003, 404157000, 413537009, 413587002, 414166008, 414553000, 414780005, 414785000, 415110002, 415111003, 415112005, 41615007, 420302007, 420519005, 420788006, 421283008, 421418009, 421696004, 421835000, 422052002, 422172005, 422853008, 425657001, 426071002, 426248008, 426336007, 426370008, 426885008, 427141003, 440422002, 441313008, 441559006, 441962003, 442537007, 51056004, 58961005, 60620005, 61493004, 68979007, 92508006, 92512000, 92514004, 92515003, 92516002, 93191005, 93192003, 93193008, 93194002, 93195001, 93196000, 93197009, 93198004, 93199007, 93487009, 93488004, 93489007, 93492006, 93493001, 93494007, 93495008, 93496009, 93497000, 93498005, 93500006, 93501005, 93505001, 93506000, 93507009, 93509007, 93510002, 93514006, 93515007, 93516008, 93518009, 93519001, 93520007, 93521006, 93522004, 93523009, 93524003, 93525002, 93526001, 93527005, 93528000, 93530003, 93531004, 93532006, 93533001, 93534007, 93536009, 93537000, 93541001, 93542008, 93543003, 93545005, 93546006, 93547002, 93548007, 93549004, 93550004, 93551000, 93552007, 93554008, 93555009, 94686001, 94687005, 94688000, 94690004, 94704006, 94707004, 94708009, 94709001, 94710006, 94711005, 94712003, 94714002, 94715001, 95186006, 95187002, 95188007, 95192000, 95193005, 95194004, 95224004, 95225003, 95226002, 95230004, 95231000, 95260009, 95261008, 95263006, 95264000,109962001,109964000
N_c1040	Dtap Vaccination	CPT	 90721, 90723,90698,90700
N_c1041	Dtap Vaccination	CVX	 20, 50,110,120
N_c406	Dtap Vaccine	RxNorm	 795926, 795930, 795938, 795939, 798309, 798347, 805375, 806587, 806593, 807415, 824542, 829894, 829971, 829987, 830518, 830549, 830555, 830893, 835879,359454,562372
N_c246	encephalopathy	ICD-9-CM	323.51
N_c502	encephalopathy	SNOMED-CT	230354009,81308009
N_c247	encephalopathy	ICD-10-CM	G04.01
N_c561	Hepatitis A Diagnosis	SNOMED-CT	 186621007, 18917003, 206373002, 25102003, 40468003, 424758008, 43634002, 79031007,111879004,16060001
N_c359	Hepatitis A Diagnosis	ICD-9-CM	070.0,070.1
N_c360	Hepatitis A Diagnosis	ICD-10-CM	 B15.9,B15,B15.0
N_c1043	Hepatitis A Vaccination	CVX	83
N_c1042	Hepatitis A Vaccination	CPT	90633
N_c419	Hepatitis A Vaccine	RxNorm	 798481, 803364, 803369,798364,798477
N_c353	Hepatitis B Diagnosis	ICD-10-CM	 B16.1, B16.2, B16.9,B16,B16.0
N_c352	Hepatitis B Diagnosis	ICD-9-CM	 V02.61,070.2,070.3
N_c562	Hepatitis B Diagnosis	SNOMED-CT	 13265006, 186623005, 186624004, 186626002, 186639003, 235864009, 235869004, 26206000, 29062009, 3738000, 38662009, 424099008, 424340000, 424460009, 442134007, 442374005, 50167007, 53425008, 60498001, 61977001, 66071002, 76795007,1116000,111891008
N_c1045	Hepatitis B Vaccination	CVX	 44, 51,08,110
N_c1044	Hepatitis B Vaccination	CPT	 90744, 90747, 90748,90723,90740
N_c418	Hepatitis B vaccine	RxNorm	 310756, 606375, 763313,310752,310753
N_c409	HIB	RxNorm	 798348, 798440, 798447, 860904,260123,798282
N_c1047	Hib Vaccination	CVX	 47, 48, 49, 50, 51,120,46
N_c1046	Hib Vaccination	CPT	 90647, 90648, 90721,90645,90646
N_c251	HIV disease	ICD-10-CM	Z21
N_c250	HIV disease	ICD-9-CM	042,V08
N_c338	HIV disease	SNOMED-CT	91947003,91948008
N_c249	immunodeficiency	ICD-10-CM	 G40.3, H49.81,E88.32,E88.8
N_c248	immunodeficiency	ICD-9-CM	279
N_c563	immunodeficiency	SNOMED-CT	 103079001, 103080003, 103081004, 105601003, 105602005, 111396008, 111584000, 111585004, 111587007, 116133005, 127067009, 129639005, 129641006, 129642004, 129643009, 13263004, 14333004, 17182001, 18827005, 190979003, 190980000, 190981001, 190993005, 190995003, 190996002, 190997006, 190998001, 191001007, 191002000, 191008001, 191018006, 191338000, 191345000, 191347008, 191352003, 203592006, 21527007, 22406001, 23238000, 234416002, 234423001, 234424007, 234425008, 234426009, 234433009, 234436001, 234437005, 234532001, 234533006, 234534000, 234539005, 234540007, 234541006, 234542004, 234543009, 234544003, 234546001, 234547005, 234548000, 234549008, 234550008, 234551007, 234552000, 234553005, 234554004, 234555003, 234556002, 234557006, 234558001, 234559009, 234560004, 234561000, 234562007, 234563002, 234564008, 234565009, 234566005, 234570002, 234571003, 234572005, 234573000, 234574006, 234576008, 234577004, 234578009, 234579001, 234580003, 234581004, 234582006, 234583001, 234584007, 234585008, 234586009, 234587000, 234588005, 234589002, 234590006, 234591005, 234593008, 234594002, 234595001, 234596000, 234597009, 234598004, 234599007, 234600005, 234601009, 234602002, 234603007, 234604001, 234605000, 234607008, 234608003, 234609006, 234611002, 234612009, 234613004, 234614005, 234615006, 234616007, 234617003, 234618008, 234619000, 234620006, 234621005, 234622003, 234623008, 234624002, 234625001, 234626000, 234627009, 234628004, 234629007, 234630002, 234631003, 234632005, 234633000, 234634006, 234635007, 234636008, 234637004, 234638009, 234639001, 234640004, 234641000, 234642007, 234643002, 234645009, 24181002, 241955009, 24419001, 24743004, 247860002, 248693006, 24974008, 25109007, 26252007, 263661007, 267538002, 267540007, 267543009, 276628009, 29260007, 29272001, 302874002, 303011007, 31323000, 32092008, 33286000, 3439009, 350353007, 351287008, 359791000, 36070007, 36138009, 362993009, 363009005, 363040003, 36980009, 37548006, 387759001, 3902000, 39674000, 398250003, 40197009, 402483002, 402791005, 402792003, 403837005, 409089005, 414850009, 416729007, 417167007, 41814009, 421312009, 425229001, 442459007, 4434006, 44940001, 45390000, 45841007, 46359005, 47144000, 47318007, 48119005, 49555001, 50926003, 55444004, 55602000, 56918001, 58034007, 58606001, 60743005, 62479008, 63484008, 65623009, 65880007, 66876008, 68504005, 70349007, 71436005, 71610005, 71904008, 72050006, 76243000, 77070006, 77121009, 77330006, 77358003, 78378009, 7990002, 80369006, 81166004, 82286005, 82317007, 82966003, 88714009, 89454001, 89655007, 9893005,103077004,103078009
N_c1048	Influenza Vaccination	CPT	 90661, 90662,90655,90657
N_c1049	Influenza Vaccination	CVX	135,15
N_c423	influenza vaccine	RxNorm	 805571, 857924, 857942, 857965, 864781, 864797, 864814,805527,805533
N_c407	IPV	RxNorm	763103,866820
N_c1051	IPV Vaccination	CVX	10,120
N_c1050	IPV Vaccination	CPT	90713,90723
N_c341	leukemia	SNOMED-CT	 110004001, 110005000, 118613001, 127225006, 188645002, 188648000, 188649008, 188651007, 188725004, 188726003, 188728002, 188729005, 188732008, 188733003, 188734009, 188736006, 188737002, 188738007, 188740002, 188741003, 188744006, 188745007, 188746008, 188748009, 188754005, 188762002, 188768003, 188770007, 190030009, 269475001, 277473004, 277474005, 277545003, 277549009, 277550009, 277551008, 277567002, 277568007, 277569004, 277570003, 277571004, 277572006, 277573001, 277574007, 277575008, 277587001, 277589003, 277601005, 277602003, 277604002, 277619001, 278189009, 278453007, 285769009, 285839005, 302855005, 302856006, 307341004, 307592006, 307617006, 359631009, 359640008, 359648001, 371012000, 372087000, 404122003, 404123008, 404124002, 404139001, 404151004, 404152006, 404153001, 404154007, 404155008, 413389003, 413441006, 413442004, 413656006, 413842007, 413843002, 415287001, 425688002, 425749006, 425869007, 425941003, 426124006, 426217000, 426642002, 427056005, 427642009, 427658007, 430338009, 91854005, 91855006, 91856007, 91857003, 91858008, 91860005, 91861009, 92811003, 92812005, 92813000, 92814006, 92817004, 92818009, 93142004, 93143009, 93144003, 93145002, 93146001, 93147005, 93148000, 93149008, 93150008, 93151007, 93152000, 93169003, 93451002, 94148006, 94716000, 94718004, 94719007, 95209008, 95210003,109991003,110002002
N_c255	leukemia	ICD-9-CM	 204, 205, 206, 207, 208,200,202
N_c256	leukemia	ICD-10-CM	 C92.5, C93.91, C94,C91,C92
N_c595	Measles	ICD-10-CM	B05
N_c569	Measles	ICD-9-CM	055
N_c568	Measles	SNOMED-CT	 186561002, 186562009, 192685000, 195900001, 233625007, 240483006, 240484000, 28463004, 38921001, 406592004, 60013002, 74918002,111873003,14189004
N_c1054	Measles Vaccination	CPT	90705
N_c1055	Measles Vaccination	CVX	05
N_c317	Measles vaccine	RxNorm	 804183, 805494,346512,547240
N_c1056	MMR Vaccination	CPT	90707,90709
N_c1057	MMR Vaccination	CVX	03,94
N_c408	MMR Vaccine	RxNorm	804186,805496
N_c570	multiple myeloma	SNOMED-CT	 277580004, 285420006, 285421005, 285422003, 313427003, 413587002, 414553000, 425657001, 440422002, 441313008, 94704006, 95209008, 95210003,109989006,277579002
N_c254	multiple myeloma	ICD-10-CM	 C90.00, C90.01,C90,C90.0
N_c253	multiple myeloma	ICD-9-CM	203
N_c272	mumps	Grouping	 N_c598,N_c571,N_c572
N_c598	mumps	ICD-10-CM	 B26.1, B26.2, B26.3, B26.8, B26.81, B26.82, B26.83, B26.84, B26.85, B26.89, B26.9,B26,B26.0
N_c572	mumps	ICD-9-CM	055
N_c571	mumps	SNOMED-CT	 17121006, 235123001, 236771002, 237443002, 240526004, 240527008, 240529006, 31524007, 31646008, 36989005, 40099009, 44201003, 63462008, 72071001, 74717002, 75548002, 78580004, 89764009,10665004,111870000
N_c1058	Mumps Vaccination	CVX	07
N_c1059	Mumps Vaccination	CPT	90704
N_c530	mumps vaccine	RxNorm	 805077,798375
N_c510	Neomycin	RxNorm	 328426, 328446, 329136, 331582, 335873, 339995, 340208, 360968, 618045, 866041,316332,328185
N_c1061	Pneumococcal Vaccination	CPT	90669,90670
N_c1060	pneumococcal vaccination	CVX	100,133
N_c421	pneumococcal vaccine	RxNorm	 854935, 854937, 854939, 854941, 854943, 854945, 854947, 854949, 854951, 854953, 854955, 854957, 854959, 854961, 854963, 854965, 854967, 854969, 854971, 854973, 854975, 854977,854931,854933
N_c511	Polymyxin	RxNorm	 C1125567, C1133048, C2729553,C0988924,C1123393
N_c336	progressive neurologic disorder	SNOMED-CT	230363006.0
N_c1062	Rotavirus  Vaccination	CVX	116,119
N_c1063	Rotavirus Vaccination	CPT	90680,90681
N_c314	Rotavirus vaccine	RxNorm	798297,805576
N_c597	Rubella	ICD-10-CM	B06,B06.9
N_c579	Rubella	ICD-9-CM	056
N_c577	Rubella	SNOMED-CT	 111868009, 13225007, 1857005, 186567003, 186570004, 19431000, 232312000, 240485004, 253227001, 270497005, 274119009, 302811004, 36653000, 47082005, 64190005, 79303006, 84611003,10082001,111867004
N_c1065	Rubella Vaccination	CVX	06
N_c1064	Rubella Vaccination	CPT	90706
N_c346	rubella vaccine	RxNorm	762820
N_c513	Streptomycin	RxNorm	C1134151
N_c583	VZV	ICD-9-CM	052,053
N_c585	VZV	SNOMED-CT	 111859007, 111861003, 186524006, 186525007, 195911009, 21954000, 230176008, 230198004, 230262004, 230536009, 232400003, 235059009, 23737006, 240468001, 240469009, 240470005, 240471009, 240472002, 240473007, 240474001, 24059009, 277644009, 309465005, 36292003, 38907003, 397573005, 400020001, 402897003, 402898008, 410500004, 410509003, 416718008, 421029004, 422127002, 422446008, 422471006, 422666006, 423333008, 423628002, 424353002, 424435009, 42448002, 424801004, 424941009, 425356002, 426570007, 428633000, 4740000, 49183009, 55560002, 87513003, 90433002,10491005,10698009
N_c1066	VZV Vaccination	CPT	90710,90716
N_c1067	VZV Vaccination	CVX	21,94
N_c420	VZV vaccine	RxNorm	759605,759609
A_c206	Allergy to eggs	ICD-9-CM	V15.03
A_c208	Allergy to eggs	SNOMED-CT	 292098007, 293104008, 293112000, 293113005, 420113004, 91930004,1484830012,213020009
A_c454	Encounter Nursing Discharge	CPT	99315,99316
A_c109	Encounter Prev Med 40 and Older	CPT	 99396, 99397,99386,99387
A_c199	Influenza Vaccination	CPT	 90660, 90661, 90662, 90663, 90664, 90666, 90667, 90668,90656,90658
A_c456	Influenza Vaccination	CVX	 111, 125, 126, 127, 128, 135,15,16
A_c204	Influenza Vaccine	RxNorm	 857942 , 857965,857924
A_c460	Influenza Vaccine Contraindicated	SNOMED-CT	390796006
A_c461	Influenza Vaccine Declined	SNOMED-CT	315640000
N_c1068	pneumococcal vaccination ages 2 and older	CPT	90732
N_c1069	pneumococcal vaccination ages 2 years and older	CVX	33
N_c1087	pneumococcal vaccine ages 2 and older	RxNorm	854981
A_c100	Asthma Persistent	ICD-10-CM	 J45.52,J45.32,J45.42
A_c101	Asthma Persistent	SNOMED-CT	 427295004,426656000,426979002
A_c144	Corticosteroid, Inhaled or Alternative Asthma Medication	RxNorm	 198257, 198262, 201541, 201545, 206234, 206238, 206239, 206243, 206245, 206246, 206255, 206720, 206746, 206748, 206833, 206841, 207251, 207254, 208214, 208217, 208218, 208219, 208223, 208225, 208226, 208257, 208262, 208263, 208265, 208266, 208270, 208272, 208273, 208274, 208275, 208277, 208278, 208279, 208284, 208285, 211776, 211777, 213767, 213897, 237178, 245314, 259325, 261113, 261136, 261313, 261367, 284417, 307779, 311152, 311153, 311154, 311156, 311157, 311158, 311159, 311184, 311187, 311562, 311563, 311564, 311567, 312146, 313268, 313269, 313272, 313273, 313274, 313275, 313276, 313277, 313279, 313281, 313282, 313289, 313292, 313296, 313299, 313300, 313305, 313310, 314041, 314043, 314145, 314241, 314251, 317769, 317770, 317771, 318245, 346574, 350713, 351136, 351464, 351465, 352051, 352052, 352132, 404406, 409303, 485046, 542073, 616817, 616830, 630208, 630209, 701709, 701711, 701712, 706456, 706552, 708224, 708226, 745679, 746193, 746451, 746466, 746763, 746804, 746811, 746813, 746815, 746827, 748627, 748786, 795354, 795356, 801855, 801886, 801919, 801935, 828929, 831246, 831259, 831260, 831267, 833470, 836366, 853008, 853010, 857631, 859082, 859088, 859091, 866047, 866049, 895996, 896001, 896006, 896009, 896011, 896013, 896019, 896023, 896027, 896029, 896175, 896185, 896193, 896212, 896226, 896229,153892,153893
A_c317	patient reason	SNOMED-CT	406149000
