standard_concept_id	standard_concept	standard_category	measures
standard_concept_id	standard_concept	standard_category	measures
N_c469		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c48		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c47		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c49		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c547		Diagnosis / Condition / Problem	["diagnosis active"]	["0055"]
N_c545		Diagnosis / Condition / Problem	["diagnosis active"]	["0055"]
N_c546		Diagnosis / Condition / Problem	["diagnosis active"]	["0055"]
N_c306		Diagnosis / Condition / Problem	["diagnosis active"]	["0055"]
N_c536		Encounter	["encounter"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c28		Encounter	["encounter"]	["0055", "0056", "0059", "0061", "0062", "0064", "0105", "0575"]
N_c537		Encounter	["encounter"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c155		Encounter	["encounter"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c393		Procedure	["procedure performed"]	["0055"]
N_c477		Procedure	["procedure performed"]	["0055"]
N_c307		Procedure	["procedure performed"]	["0055"]
N_c309		Procedure	["procedure performed"]	["0055"]
N_c308		Procedure	["procedure performed"]	["0055"]
N_c470		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c67		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c66		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c70		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c52		Medication	["medication order", "medication dispensed", "medication active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c540		Medication	["medication dispensed", "medication order", "medication active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c53		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c472		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c63		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c62		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c69		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c473		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c65		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c64		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c68		Diagnosis / Condition / Problem	["diagnosis active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c55		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c56		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c311		Physical exam	["physical exam performed"]	["0056"]
N_c71		Laboratory test	["laboratory test performed"]	["0059", "0575"]
N_c87		Laboratory test	["laboratory test result"]	["0059", "0575"]
N_c476		Laboratory test	["laboratory test result"]	["0059", "0575"]
N_c88		Laboratory test	["laboratory test result"]	["0059", "0575"]
N_c202		Medication	["medication order", "medication dispensed", "medication active"]	["0062"]
N_c541		Medication	["medication order", "medication dispensed", "medication active"]	["0062"]
N_c203		Medication	["medication order", "medication dispensed", "medication active"]	["0062"]
N_c504		Medication	["medication dispensed", "medication order", "medication active"]	["0062"]
N_c549		Diagnosis / Condition / Problem	["diagnosis active"]	["0062"]
N_c548		Diagnosis / Condition / Problem	["diagnosis active"]	["0062"]
N_c574		Diagnosis / Condition / Problem	["diagnosis active"]	["0062"]
N_c573		Diagnosis / Condition / Problem	["diagnosis active"]	["0062"]
N_c471		Laboratory test	["laboratory test performed"]	["0062"]
N_c193		Laboratory test	["laboratory test performed"]	["0062"]
N_c192		Laboratory test	["laboratory test performed"]	["0062"]
N_c194		Laboratory test	["laboratory test result"]	["0062"]
N_c474		Procedure	["procedure performed"]	["0062"]
N_c638		Procedure	["procedure performed"]	["0062"]
N_c637		Procedure	["procedure performed"]	["0062"]
N_c197		Procedure	["procedure performed"]	["0062"]
N_c198		Procedure	["procedure performed"]	["0062"]
N_c199		Procedure	["procedure performed"]	["0062"]
N_c475		Laboratory test	["laboratory test performed"]	["0062"]
N_c195		Laboratory test	["laboratory test performed"]	["0062"]
N_c196		Laboratory test	["laboratory test performed"]	["0062"]
N_c201		Laboratory test	["laboratory test performed"]	["0062"]
N_c156		Laboratory test	["laboratory test result", "laboratory test performed"]	["0064", "0075"]
N_c157		Laboratory test	["laboratory test result", "laboratory test performed"]	["0064", "0075"]
N_c158		Laboratory test	["laboratory test result", "laboratory test performed"]	["0064", "0075"]
N_c466		Laboratory test	["laboratory test result", "laboratory test performed"]	["0064", "0075"]
A_c132		Medication	["medication order", "medication active", "medication allergy", "medication adverse event", "medication intolerance"]	["0067"]
A_c421		Diagnosis / Condition / Problem	["diagnosis active"]	["0067"]
A_c419		Diagnosis / Condition / Problem	["diagnosis active"]	["0067"]
A_c420		Diagnosis / Condition / Problem	["diagnosis active"]	["0067"]
A_c427		Diagnosis / Condition / Problem	["diagnosis active"]	["0067"]
A_c169		Procedure	["procedure performed"]	["0067", "0070", "0074"]
A_c371		Procedure	["procedure performed"]	["0067", "0070", "0074"]
A_c168		Procedure	["procedure performed"]	["0067", "0070", "0074"]
A_c365		Diagnosis / Condition / Problem	["diagnosis active"]	["0067", "0074"]
A_c123		Diagnosis / Condition / Problem	["diagnosis active"]	["0067", "0074"]
A_c122		Diagnosis / Condition / Problem	["diagnosis active"]	["0067", "0074"]
A_c124		Diagnosis / Condition / Problem	["diagnosis active"]	["0067", "0074"]
A_c27		Encounter	["encounter"]	["0067", "0070", "0081"]
N_c460		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c138		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c139		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c191		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c461		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c140		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c141		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c142		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c143		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c499		Encounter	["encounter"]	["0068", "0073", "0075"]
N_c462		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c131		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c132		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c564		Diagnosis / Condition / Problem	["diagnosis active"]	["0068", "0073", "0075"]
N_c463		Medication	["medication dispensed", "medication order", "medication active"]	["0068", "0069"]
N_c464		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c145		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c146		Procedure	["procedure performed"]	["0068", "0073", "0075"]
N_c147		Procedure	["procedure performed"]	["0068", "0073", "0075"]
A_c366		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c181		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c176		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c186		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c414		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0081"]
A_c413		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0081"]
A_c48		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0081"]
A_c519		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0081"]
A_c177		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c367		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c264		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c187		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c133		Medication	["medication order", "medication active", "medication adverse event", "medication allergy", "medication intolerance"]	["0070", "0083"]
A_c412		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c411		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c410		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c408		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c267		Procedure	["procedure performed"]	["0070"]
A_c303		Device	["device applied"]	["0070", "0083"]
A_c368		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c183		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c178		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c369		Diagnosis / Condition / Problem	["diagnosis active"]	["0070"]
A_c57		Diagnosis / Condition / Problem	["diagnosis active"]	["0070"]
A_c56		Diagnosis / Condition / Problem	["diagnosis active"]	["0070"]
A_c120		Diagnosis / Condition / Problem	["diagnosis active"]	["0070"]
A_c409		Physical exam	["physical exam finding"]	["0070", "0083"]
A_c370		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c180		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c175		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c185		Diagnosis / Condition / Problem	["diagnosis active"]	["0070", "0083"]
A_c403		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0070"]
A_c119		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0070"]
A_c118		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0070"]
A_c58		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0070"]
A_c260		Laboratory test	["laboratory test result"]	["0074"]
A_c134		Medication	["medication order", "medication active", "medication allergy", "medication adverse event", "medication intolerance"]	["0074"]
N_c183		Laboratory test	["laboratory test performed"]	["0075"]
N_c465		Laboratory test	["laboratory test performed"]	["0075"]
N_c184		Laboratory test	["laboratory test performed"]	["0075"]
N_c185		Laboratory test	["laboratory test performed"]	["0075"]
N_c180		Laboratory test	["laboratory test performed"]	["0075"]
N_c467		Laboratory test	["laboratory test performed"]	["0075"]
N_c181		Laboratory test	["laboratory test performed"]	["0075"]
N_c182		Laboratory test	["laboratory test performed"]	["0075"]
N_c186		Laboratory test	["laboratory test performed"]	["0075"]
N_c468		Laboratory test	["laboratory test performed"]	["0075"]
N_c187		Laboratory test	["laboratory test performed"]	["0075"]
N_c188		Laboratory test	["laboratory test performed"]	["0075"]
A_c39		Medication	["medication active", "medication adverse event", "medication order", "medication allergy", "medication intolerance"]	["0081"]
A_c239		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c533		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c534		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c535		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c374		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c238		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c47		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c518		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c42		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c522		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c521		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c523		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c375		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c240		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c44		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c41		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c525		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c528		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c527		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c29		Diagnostic study	["diagnostic study result"]	["0081", "0083"]
A_c376		Diagnosis / Condition / Problem	["diagnosis active"]	["0081", "0083", "0084"]
A_c24		Diagnosis / Condition / Problem	["diagnosis active"]	["0081", "0083", "0084"]
A_c23		Diagnosis / Condition / Problem	["diagnosis active"]	["0081", "0083", "0084"]
A_c25		Diagnosis / Condition / Problem	["diagnosis active"]	["0081", "0083", "0084"]
A_c236		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c539		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c545		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c540		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c31		Diagnostic study	["diagnostic study result"]	["0081", "0083"]
A_c237		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c541		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c544		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c543		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c305		Negation Rationale	["medication not done"]	["0081"]
A_c378		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c242		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c243		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c532		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c46		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c530		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c529		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c531		Diagnosis / Condition / Problem	["diagnosis active"]	["0081"]
A_c380		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c230		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c223		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c507		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c381		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c116		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c115		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c117		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c382		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c228		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c221		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c472		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c387		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c231		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c224		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c474		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c383		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c232		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c225		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c475		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c437		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c436		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c226		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c476		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c384		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c227		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c217		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c473		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c385		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c229		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c222		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c477		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c407		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c406		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c405		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c478		Diagnosis / Condition / Problem	["diagnosis active"]	["0084"]
A_c135		Medication	["medication active", "medication order", "medication allergy", "medication adverse event", "medication intolerance"]	["0084"]
A_c110		Encounter	["encounter"]	["0086", "0088", "0089"]
A_c111		Encounter	["encounter"]	["0086", "0088", "0089"]
A_c147		Procedure	["procedure performed"]	["0086"]
A_c326		Diagnosis / Condition / Problem	["diagnosis active"]	["0086"]
A_c73		Diagnosis / Condition / Problem	["diagnosis active"]	["0086"]
A_c72		Diagnosis / Condition / Problem	["diagnosis active"]	["0086"]
A_c74		Diagnosis / Condition / Problem	["diagnosis active"]	["0086"]
A_c327		Diagnosis / Condition / Problem	["diagnosis active"]	["0088", "0089"]
A_c76		Diagnosis / Condition / Problem	["diagnosis active"]	["0088", "0089"]
A_c78		Diagnosis / Condition / Problem	["diagnosis active"]	["0088", "0089"]
A_c80		Diagnosis / Condition / Problem	["diagnosis active"]	["0088", "0089"]
A_c154		Physical exam	["physical exam finding"]	["0088"]
A_c155		Physical exam	["physical exam finding"]	["0088"]
A_c152		Procedure	["procedure performed"]	["0088", "0089"]
A_c153		Physical exam	["physical exam finding"]	["0088"]
A_c516		Communication	["communication provider to provider"]	["0089"]
A_c515		Communication	["communication provider to provider"]	["0089"]
A_c514		Communication	["communication provider to provider"]	["0089"]
N_c612		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c610		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c609		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c611		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c616		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c614		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c613		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c615		Diagnosis / Condition / Problem	["diagnosis active"]	["0105"]
N_c625		Medication	["medication dispensed", "medication order", "medication active"]	["0105"]
N_c617		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c619		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c621		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c622		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c623		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c624		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c618		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
N_c620		Medication	["medication dispensed", "medication active", "medication order"]	["0105"]
added-N_c603-N_c604-N_c605-N_c28,-N_c26		Encounter	["encounter"]	["0105"]
N_c603		Encounter	["encounter"]	["0105"]
N_c604		Encounter	["encounter"]	["0105"]
N_c605		Encounter	["encounter"]	["0105"]
A_c498		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c496		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c495		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c497		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c293		Medication	["medication order", "medication administered", "medication intolerance", "medication adverse event", "medication allergy"]	["0385"]
A_c391		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c345		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c344		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c316		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c392		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0385"]
A_c94		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0385"]
A_c93		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0385"]
A_c415		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0385"]
A_c292		Procedure	["procedure result"]	["0385"]
A_c508		Individual characteristic	["patient characteristic"]	["0385"]
A_c506		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c504		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c503		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c505		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c490		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c488		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c487		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c489		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c502		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c499		Diagnosis / Condition / Problem	["diagnosis active"]	["0385"]
A_c470		Procedure	["procedure performed"]	["0387"]
A_c471		Procedure	["procedure performed"]	["0387"]
A_c469		Procedure	["procedure performed"]	["0387"]
A_c389		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c97		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c96		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c98		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c284		Procedure	["procedure result"]	["0387"]
A_c390		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0387"]
A_c279		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0387"]
A_c278		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0387"]
A_c416		Diagnosis / Condition / Problem	["diagnosis inactive"]	["0387"]
A_c283		Procedure	["procedure result"]	["0387"]
A_c484		Procedure	["procedure performed"]	["0387"]
A_c485		Procedure	["procedure performed"]	["0387"]
A_c483		Procedure	["procedure performed"]	["0387"]
A_c290		Individual characteristic	["patient characteristic"]	["0387"]
A_c467		Medication	["medication active"]	["0387"]
A_c447		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c445		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c443		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c446		Diagnosis / Condition / Problem	["diagnosis active"]	["0387"]
A_c480		Procedure	["procedure performed"]	["0387"]
A_c482		Procedure	["procedure performed"]	["0387"]
A_c481		Procedure	["procedure performed"]	["0387"]
A_c285		Medication	["medication order", "medication active", "medication intolerance", "medication adverse event", "medication allergy"]	["0387"]
A_c286		Procedure	["procedure result"]	["0389"]
A_c272		Diagnostic study	["diagnostic study performed"]	["0389"]
A_c320		Diagnostic study	["diagnostic study performed"]	["0389"]
A_c271		Diagnostic study	["diagnostic study performed"]	["0389"]
A_c397		Laboratory test	["laboratory test result"]	["0389"]
A_c282		Laboratory test	["laboratory test result"]	["0389"]
A_c281		Laboratory test	["laboratory test result"]	["0389"]
A_c280		Laboratory test	["laboratory test result"]	["0389"]
A_c451		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c450		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c449		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c325		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c319		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c91		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c90		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c92		Diagnosis / Condition / Problem	["diagnosis active"]	["0389"]
A_c113		Procedure	["procedure performed"]	["0389"]
A_c398		Procedure	["procedure performed"]	["0389"]
A_c213		Procedure	["procedure performed"]	["0389"]
A_c214		Laboratory test	["laboratory test result"]	["0389"]
A_c401		Laboratory test	["laboratory test result"]	["0389"]
A_c215		Laboratory test	["laboratory test result"]	["0389"]
A_c400		Laboratory test	["laboratory test performed"]	["0389"]
A_c323		Procedure	["procedure performed"]	["0389"]
A_c399		Procedure	["procedure performed"]	["0389"]
A_c324		Procedure	["procedure performed"]	["0389"]
Q_c8		Individual characteristic	["patient characteristic"]	["0421"]
Q_c69		Physical exam	["physical exam finding"]	["0421"]
Q_c148		Physical exam	["physical exam finding"]	["0421"]
Q_c155		Communication	["communication provider to provider"]	["0421"]
Q_c150		Encounter	["encounter"]	["0421"]
Q_c67		Encounter	["encounter"]	["0421"]
Q_c152		Care goal	["care plan"]	["0421"]
Q_c156		Care goal	["care plan"]	["0421"]
Q_c153		Care goal	["care plan"]	["0421"]
Q_c70		Care goal	["care plan"]	["0421"]
Q_c154		Care goal	["care plan"]	["0421"]
Q_c1		Measure timing	["end: today m/d/yyyy 23:59:59"]	["0421"]
Q_c2		Measure timing	["start of timing window"]	["0421"]
Q_c145		Negation rationale	["physical exam not done"]	["0421"]
Q_c146		Negation rationale	["physical exam not done"]	["0421"]
Q_c159		Diagnosis / Condition / Problem	["diagnosis active"]	["0421"]
Q_c157		Diagnosis / Condition / Problem	["diagnosis active"]	["0421"]
Q_c158		Diagnosis / Condition / Problem	["diagnosis active"]	["0421"]
Q_c160		Diagnosis / Condition / Problem	["diagnosis active"]	["0421"]
Q_c147		Negation rationale	["physical exam not done"]	["0421"]
Q_c139		Individual characteristic	["patient characteristic"]	["0421"]
added-Q_c147-Q_c146-Q_c145		Physical exam	["physical exam not done"]	[nil]
added-Q_c69-Q_c148		Physical exam	["physical exam finding"]	[nil]
